AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
25–34,Female ,More than 3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Rarely ,Sometimes ,Sometimes ,Often ,Often ,Often ,Moderately ,YouTube ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Not at all ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Snapchat ,Sometimes ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Slightly ,Rarely ,Sometimes ,Often ,Sometimes ,Rarely ,Sometimes ,Significantly ,Facebook ,Always ,Slightly 
Below 18,Other ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,YouTube ,Sometimes ,Slightly 
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Snapchat ,Always ,Significantly 
18–24,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Slightly ,Rarely ,Sometimes ,Often ,Sometimes ,Rarely ,Sometimes ,Significantly ,Facebook ,Always ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Male ,1–3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Moderately ,Always ,Always ,Often ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Sometimes ,Sometimes ,Moderately ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Often ,Moderately 
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Slightly ,Always ,Often ,Always ,Often ,Always ,Often ,Significantly ,TikTok ,Often ,Significantly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes ,Always ,Often ,Not at all ,Instagram ,Rarely ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Sometimes ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Rarely ,Slightly ,Rarely ,Sometimes ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Often ,Always ,Slightly ,Facebook ,Always ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Often ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Moderately ,Not at all ,Rarely ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Not at all ,Snapchat ,Rarely ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Moderately ,Always ,Rarely ,Often ,Often ,Sometimes ,Always ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Significantly ,Moderately ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Significantly ,Facebook ,Always ,Slightly 
25–34,Male ,More than 3 hours ,Always ,Slightly ,Sometimes ,Sometimes ,Not at all ,Significantly ,Often ,Rarely ,Sometimes ,Rarely ,Rarely ,Sometimes ,Slightly ,Twitter ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Not at all ,YouTube ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Rarely ,Often ,Rarely ,Sometimes ,Always ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Often ,Moderately 
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Often ,Always ,Always ,Sometimes ,Significantly ,Instagram ,Often ,Moderately 
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Slightly 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Not at all ,YouTube ,Rarely ,Slightly 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Sometimes ,Rarely ,Slightly ,Moderately ,Often ,Often ,Often ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Moderately ,YouTube ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Often ,Often ,Significantly ,Snapchat ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
25–34,Other ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,Snapchat ,Always ,Slightly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Significantly ,Always ,Always ,Always ,Often ,Always ,Often ,Moderately ,TikTok ,Often ,Moderately 
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Always ,Often ,Often ,Often ,Significantly ,Snapchat ,Always ,Moderately 
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
25–34,Female ,More than 3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Rarely ,Sometimes ,Sometimes ,Often ,Often ,Often ,Moderately ,YouTube ,Sometimes ,Moderately 
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Slightly 
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Often ,Sometimes ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Sometimes ,Always ,Moderately ,Facebook ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Rarely ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,Facebook ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Slightly ,Moderately ,Always ,Often ,Often ,Often ,Often ,Rarely ,Moderately ,Facebook ,Rarely ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,TikTok ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Often ,Always ,Always ,Always ,Significantly ,YouTube ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Rarely ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,YouTube ,Sometimes ,Slightly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often ,Rarely ,Slightly ,Moderately ,Often ,Often ,Rarely ,Always ,Always ,Always ,Not at all ,YouTube ,Always ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Always ,Often ,Often ,Often ,Significantly ,Snapchat ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Rarely ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,YouTube ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Moderately ,Always ,Often ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Significantly ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes ,Always ,Often ,Not at all ,Instagram ,Rarely ,Moderately 
25–34,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Often ,Often ,Always ,Moderately ,Twitter ,Always ,Moderately 
25–34,Female ,1–3 hours ,Always ,Moderately ,Always ,Often ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Often ,Always ,Moderately ,YouTube ,Always ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Moderately ,YouTube ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Others ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Rarely ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely ,Always ,Often ,Significantly ,Facebook ,Always ,Significantly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Sometimes ,Moderately 
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Always ,Often ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Significantly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Often ,Often ,Often ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Instagram ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Rarely ,Rarely ,Moderately ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often ,Often ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Often ,Often ,Sometimes ,Moderately ,TikTok ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Sometimes ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely ,Often ,Often ,Not at all ,Facebook ,Often ,Not at all 
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Significantly 
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Slightly ,Facebook ,Often ,Slightly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Often ,Slightly 
25–34,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Often ,Rarely ,Sometimes ,Moderately ,Others ,Always ,Significantly 
Below 18,Male ,More than 3 hours ,Always ,Moderately ,Always ,Always ,Moderately ,Significantly ,Sometimes ,Sometimes ,Always ,Always ,Sometimes ,Often ,Moderately ,Instagram ,Always ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often ,Rarely ,Slightly ,Moderately ,Often ,Often ,Rarely ,Always ,Always ,Always ,Not at all ,YouTube ,Always ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,YouTube ,Sometimes ,Significantly 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
25–34,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
25–34,Female ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Significantly ,Significantly ,Always ,Often ,Often ,Always ,Always ,Often ,Significantly ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Moderately ,Often ,Often ,Often ,Always ,Always ,Always ,Significantly ,YouTube ,Always ,Significantly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,YouTube ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Sometimes ,Not at all ,Facebook ,Often ,Moderately 
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Male ,Less than 1 hour ,Often ,Moderately ,Always ,Sometimes ,Moderately ,Moderately ,Always ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Sometimes ,Often ,Sometimes ,Often ,Often ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Significantly ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes ,Sometimes ,Slightly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Slightly ,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,LinkedIn ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Significantly ,Moderately ,Always ,Often ,Always ,Always ,Often ,Always ,Significantly ,Twitter ,Often ,Moderately 
18–24,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Rarely ,Often ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,YouTube ,Often ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Rarely ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Sometimes ,Often ,Sometimes ,Often ,Often ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Significantly ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Slightly ,Instagram ,Often ,Moderately 
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Sometimes ,Sometimes ,Slightly ,Significantly ,Always ,Often ,Often ,Often ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Not at all ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Moderately ,YouTube ,Often ,Not at all 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Significantly ,Always ,Always ,Always ,Always ,Always ,Rarely ,Significantly ,Facebook ,Rarely ,Significantly 
18–24,Female ,More than 3 hours ,Rarely ,Slightly ,Rarely ,Sometimes ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Often ,Always ,Slightly ,Facebook ,Always ,Not at all 
25–34,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Significantly ,Snapchat ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Always ,Sometimes ,Moderately ,Facebook ,Often ,Slightly 
Below 18,Male ,Less than 1 hour ,Rarely ,Significantly ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Rarely ,Rarely ,Sometimes ,Sometimes ,Rarely ,Slightly ,Instagram ,Sometimes ,Not at all 
Below 18,Female ,1–3 hours ,Sometimes ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Often ,Always ,Always ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often ,Rarely ,Slightly ,Moderately ,Often ,Often ,Rarely ,Always ,Always ,Always ,Not at all ,YouTube ,Always ,Slightly 
25–34,Female ,More than 3 hours ,Always ,Moderately ,Often ,Always ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Always ,Rarely ,Moderately ,Facebook ,Often ,Moderately 
